Source,Title,Link
THEGRIO,Michael Harriot,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""LINK"")"
THEGRIO,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""LINK"")"
HUFFPOST,Critical Race Theory Will Continue To Be Attacked — So Read These 8 Empowering Books By Black Authors,"=HYPERLINK(""https://www.huffpost.com/entry/empowering-books-black-authors-2024_n_6761e5dbe4b0a89003b0ea67"", ""LINK"")"
ANDSCAPE,"In 2024, Kendrick Lamar made the boogeyman a superhero
The Compton MC is the fourth annual Andscape MVP recipient","=HYPERLINK(""https://andscape.com/features/kendrick-lamar-made-the-boogeyman-a-superhero/"", ""LINK"")"
ANDSCAPE,"Michael Vick going to coach at Norfolk State a prime example of Deion Sanders effect
Former NFL quarterback and first-time college coach is embracing an HBCU program that desperately needs his help","=HYPERLINK(""https://andscape.com/features/michael-vick-going-to-coach-at-norfolk-state-a-prime-example-of-deion-sanders-effect/"", ""LINK"")"
ANDSCAPE,"Andscape roundtable: Michael Vick, Norfolk State and the Deion Sanders effect in college football
Talking Vick’s potential coaching opportunities, his legend and how Sanders’ success is influencing the sport","=HYPERLINK(""https://andscape.com/features/andscape-roundtable-michael-vick-norfolk-state-and-the-deion-sanders-effect-in-college-football/"", ""LINK"")"
ANDSCAPE,"Andscape roundtable: Talking Travis Hunter and  Heisman, Deion Sanders and Jackson State
Discussing Hunter’s dominant awards season, Sanders’ season, JSU coach T.C. Taylor and more","=HYPERLINK(""https://andscape.com/features/andscape-roundtable-talking-travis-hunter-heisman-trophy-deion-sanders-and-jackson-state/"", ""LINK"")"
ANDSCAPE,"Jackson State coach T.C. Taylor knew his Celebration Bowl moment would come
Taylor’s victory ended the Deion Sanders hangover at JSU, Southwestern Athletic Conference","=HYPERLINK(""https://andscape.com/features/jackson-state-coach-t-c-taylor-knew-his-celebration-bowl-moment-would-come/"", ""LINK"")"
ANDSCAPE,"Travis Hunter, Jackson State and perfect symmetry
JSU receiver Errick Simmons said battles with Hunter in practice, the arrival of Deion Sanders forced him to ‘work differently’","=HYPERLINK(""https://andscape.com/features/travis-hunter-jackson-state-and-perfect-symmetry/"", ""LINK"")"
FT,Artificial intelligence,"=HYPERLINK(""/artificial-intelligence"", ""LINK"")"
FT,Artificial intelligence,"=HYPERLINK(""https://www.ft.com/artificial-intelligence"", ""LINK"")"
FT,Slavery Statement & Policies,"=HYPERLINK(""https://help.ft.com/help/legal/slavery-statement/"", ""LINK"")"
NYTIMES,Artificial Intelligence,"=HYPERLINK(""https://www.nytimes.com/spotlight/artificial-intelligence"", ""LINK"")"
USATODAY,Disney scraps DEI storyline from cartoon. It's a…,"=HYPERLINK(""/story/opinion/columnist/2024/12/23/disney-transgender-storyline-pixar-series-win-lose/77084089007/"", ""LINK"")"
GITHUB,Financial servicesMercado Libre cuts coding time by 50%Read customer story,"=HYPERLINK(""https://github.com/customer-stories/mercado-libre"", ""LINK"")"
OPENAI,chatgpt,"=HYPERLINK(""https://community.openai.com/tag/chatgpt"", ""LINK"")"
GPTBOT,ChatGPT Prompts Library,"=HYPERLINK(""https://gptbot.io/chatgpt-prompts/"", ""LINK"")"
GPTBOT,ChatGPT Business Ideas Guide,"=HYPERLINK(""https://gptbot.io/chatgpt-business-idea-generation-guide/"", ""LINK"")"
GPTBOT,ChatGPT Prompt Guide,"=HYPERLINK(""https://gptbot.io/master-chatgpt-prompting-techniques-guide/"", ""LINK"")"
GPTBOT,ChatGPT,"=HYPERLINK(""https://gptbot.io/topics/chatgpt/"", ""LINK"")"
GPTBOT,ChatGPT Prompts Library,"=HYPERLINK(""https://go.gptbot.io/prompts-library"", ""LINK"")"
GPTBOT,The Future of Work: How AI Like ChatGPT Will Impact Jobs,"=HYPERLINK(""https://gptbot.io/how-ai-like-chatgpt-will-impact-jobs/"", ""LINK"")"
GUIDES,"ChatGPT’s New Milestone: 1 Year Of Success (And It Keeps Going)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-turns-one-year-old/"", ""LINK"")"
GUIDES,"Answered: ChatGPT “Code interpreter session expired” (2024)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-code-interpreter-session-expired/"", ""LINK"")"
GUIDES,"Cause & Fix: ChatGPT Usage Cap For GPT-4 (In 2024)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-usage-cap/"", ""LINK"")"
GUIDES,"ChatGPT Waitlist: Why & How Long To Wait (Dec. 2024)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-waitlist-pause-upgrades/"", ""LINK"")"
GUIDES,"ChatGPT: How To Jump To Bottom Of Conversation

David Ch","=HYPERLINK(""https://guides.ai/bottom-of-chatgpt-conversation/"", ""LINK"")"
GUIDES,"Notion AI vs ChatGPT: Honest Comparison (2024)

David Ch","=HYPERLINK(""https://guides.ai/notion-ai-vs-chatgpt/"", ""LINK"")"
GUIDES,"ChatGPT: Most Recent Data Is *Actually* From 2022

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-data/"", ""LINK"")"
GUIDES,"ChatGPT: Upload PDF & Other Documents (2024)

David Ch","=HYPERLINK(""https://guides.ai/how-to-upload-documents-chatgpt/"", ""LINK"")"
GUIDES,"9 Best ChatGPT Alternatives: AI Chatbots (2024)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-alternatives/"", ""LINK"")"
GUIDES,"Fixed: Why ChatGPT Stops Writing Mid-Answer (2024)

David Ch","=HYPERLINK(""https://guides.ai/fixed-why-chatgpt-stops-writing-mid-answer-2023/"", ""LINK"")"
GUIDES,"ChatGPT Orange Logo: Meaning & How To Fix (2024)

David Ch","=HYPERLINK(""https://guides.ai/chatgpt-orange-logo-fix/"", ""LINK"")"
GUIDES,"ChatGPT: How To Regenerate A Response (2024)

David Ch","=HYPERLINK(""https://guides.ai/how-to-regenerate-answer-chatgpt/"", ""LINK"")"
GUIDES,"ChatGPT: How To Stop Generating Mid-Answer (2024)

David Ch","=HYPERLINK(""https://guides.ai/how-to-stop-chatgpt-generating-answer/"", ""LINK"")"
HUGGINGFACE,"fka/awesome-chatgpt-prompts


Updated
					Sep 3
• 

					6.71k
				
				• 

					6.6k","=HYPERLINK(""/datasets/fka/awesome-chatgpt-prompts"", ""LINK"")"
HUGGINGFACE,"Transformers.js

12,440
State-of-the-art Machine Learning for the web. Run Transformers directly in your browser, with no need for a server.","=HYPERLINK(""/docs/transformers.js"", ""LINK"")"
Unknown,Placeholder Article,"=HYPERLINK("""", ""LINK"")"
